grad(p):0,grad(p):1,grad(p):2
-3.27E-05,-2.03E-07,3.42E-22
0.00054342,7.42E-05,0
0.00059174,0.00027836,1.62E-20
0.00063325,0.00047331,-3.40E-20
0.00063329,0.00054238,1.77E-20
0.00061126,0.00054817,-1.99E-23
0.00058335,0.00053835,-2.86E-20
0.00055205,0.00051805,5.75E-20
0.00051815,0.00048889,4.34E-21
0.00048308,0.00045524,-3.08E-20
0.00044793,0.00042076,-3.60E-20
0.00041333,0.00038766,3.35E-20
0.00037965,0.00035719,3.76E-20
0.00034709,0.00032994,-3.50E-20
0.0003158,0.00030601,0
0.0002859,0.00028521,3.82E-20
0.00025748,0.00026717,-3.57E-20
0.0002306,0.00025149,-6.80E-23
0.00020531,0.00023775,3.76E-20
0.00018158,0.00022558,-3.52E-20
0.00015939,0.00021465,1.45E-22
0.00013869,0.00020466,-6.36E-24
0.00011942,0.00019538,0
0.00010156,0.00018662,1.37E-22
8.51E-05,0.00017821,1.39E-22
6.99E-05,0.00017005,0
5.61E-05,0.00016206,-1.36E-24
4.36E-05,0.00015425,0
3.24E-05,0.00014659,-5.42E-22
2.24E-05,0.0001391,-1.76E-20
1.36E-05,0.00013181,1.67E-20
5.85E-06,0.00012474,-1.76E-20
-8.30E-07,0.0001179,-8.05E-22
-6.56E-06,0.00011132,1.69E-20
-1.14E-05,0.00010501,-1.77E-20
-1.55E-05,9.90E-05,1.74E-20
-1.89E-05,9.32E-05,-1.74E-20
-2.17E-05,8.77E-05,3.56E-20
-2.40E-05,8.25E-05,3.75E-22
-2.57E-05,7.76E-05,-3.69E-20
-2.71E-05,7.29E-05,1.80E-20
-2.81E-05,6.85E-05,-1.87E-20
-2.89E-05,6.43E-05,1.88E-20
-2.94E-05,6.03E-05,-1.98E-20
-2.98E-05,5.66E-05,2.01E-20
-3.00E-05,5.31E-05,9.65E-21
-3.01E-05,4.98E-05,-1.05E-20
-3.01E-05,4.67E-05,3.51E-22
-3.01E-05,4.39E-05,1.18E-20
-3.01E-05,4.12E-05,-1.21E-20
-3.01E-05,3.87E-05,-1.23E-20
-3.00E-05,3.63E-05,1.36E-20
-3.00E-05,3.41E-05,1.43E-20
-3.00E-05,3.20E-05,-1.41E-20
-3.00E-05,2.99E-05,0
-2.99E-05,2.80E-05,0
-2.99E-05,2.61E-05,-2.65E-22
-2.99E-05,2.43E-05,-2.82E-22
-2.99E-05,2.25E-05,9.24E-21
-2.99E-05,2.08E-05,-1.04E-20
-2.99E-05,1.92E-05,-1.08E-20
-2.99E-05,1.77E-05,2.29E-20
-3.00E-05,1.62E-05,2.09E-22
-3.00E-05,1.49E-05,-1.35E-20
-3.00E-05,1.36E-05,6.98E-21
-3.00E-05,1.24E-05,7.24E-24
-3.01E-05,1.13E-05,-7.89E-21
-3.01E-05,1.01E-05,1.34E-22
-3.02E-05,8.97E-06,-9.11E-21
-3.02E-05,7.83E-06,9.95E-21
-3.03E-05,6.64E-06,1.32E-24
-3.03E-05,5.44E-06,-5.86E-21
-3.04E-05,4.22E-06,6.13E-21
-3.05E-05,3.09E-06,0
-3.05E-05,1.97E-06,0
-3.05E-05,9.50E-07,3.80E-21
-3.06E-05,7.41E-08,-2.19E-21
-3.06E-05,-5.20E-07,-2.22E-21
-3.07E-05,-6.11E-07,-6.21E-22
-3.07E-05,-3.92E-07,7.57E-22
0.0006925,-7.60E-05,-7.92E-20
0.00068095,-6.03E-05,7.31E-20
0.00075053,0.0001151,0
0.00077264,0.00021696,-6.49E-20
0.00075323,0.00025119,6.00E-20
0.00072374,0.00027078,-6.03E-20
0.00068972,0.00028314,5.58E-20
0.00065065,0.00028527,2.20E-23
0.0006081,0.00027866,4.41E-23
0.00056415,0.00026649,0
0.00052032,0.00025149,4.40E-23
0.00047759,0.00023579,5.65E-23
0.00043656,0.000221,1.09E-23
0.00039751,0.00020811,0
0.00036051,0.00019749,-1.34E-22
0.00032553,0.00018905,-4.59E-20
0.00029255,0.00018239,8.76E-20
0.00026156,0.00017698,-4.18E-20
0.0002326,0.00017235,-7.22E-23
0.0002057,0.00016813,4.15E-20
0.00018082,0.00016405,-3.91E-20
0.00015794,0.00015996,0
0.00013695,0.0001558,-3.92E-20
0.00011773,0.00015149,3.72E-20
0.00010019,0.00014702,3.81E-20
8.42E-05,0.00014236,1.66E-21
6.98E-05,0.0001375,-3.61E-20
5.67E-05,0.00013245,5.71E-22
4.50E-05,0.00012727,-2.83E-22
3.45E-05,0.00012199,2.83E-22
2.53E-05,0.00011666,-2.80E-22
1.71E-05,0.00011133,0
1.00E-05,0.00010602,2.96E-24
3.85E-06,0.00010079,-3.68E-20
-1.44E-06,9.57E-05,3.58E-20
-5.97E-06,9.07E-05,-5.74E-22
-9.81E-06,8.59E-05,5.79E-22
-1.30E-05,8.12E-05,-3.76E-20
-1.57E-05,7.67E-05,3.73E-20
-1.79E-05,7.24E-05,1.99E-20
-1.98E-05,6.82E-05,-1.99E-20
-2.13E-05,6.42E-05,-3.09E-22
-2.25E-05,6.05E-05,0
-2.34E-05,5.68E-05,-3.24E-22
-2.42E-05,5.34E-05,6.72E-22
-2.49E-05,5.02E-05,0
-2.54E-05,4.72E-05,-3.57E-22
-2.58E-05,4.43E-05,-2.37E-20
-2.62E-05,4.16E-05,2.43E-20
-2.65E-05,3.91E-05,0
-2.68E-05,3.67E-05,1.33E-20
-2.70E-05,3.44E-05,-1.43E-20
-2.72E-05,3.23E-05,0
-2.74E-05,3.02E-05,-2.37E-22
-2.76E-05,2.82E-05,0
-2.78E-05,2.63E-05,2.13E-24
-2.80E-05,2.44E-05,1.79E-20
-2.81E-05,2.26E-05,-1.89E-20
-2.83E-05,2.09E-05,3.12E-22
-2.84E-05,1.93E-05,-1.12E-20
-2.85E-05,1.78E-05,-1.97E-22
-2.85E-05,1.63E-05,1.19E-20
-2.86E-05,1.50E-05,1.55E-24
-2.87E-05,1.37E-05,-1.38E-20
-2.87E-05,1.25E-05,1.48E-20
-2.88E-05,1.13E-05,-2.48E-22
-2.88E-05,1.01E-05,-1.01E-24
-2.88E-05,8.98E-06,-1.43E-22
-2.89E-05,7.79E-06,9.94E-21
-2.89E-05,6.57E-06,1.69E-22
-2.89E-05,5.36E-06,3.19E-24
-2.89E-05,4.14E-06,-1.22E-20
-2.89E-05,2.97E-06,0
-2.89E-05,1.86E-06,-7.23E-21
-2.89E-05,7.85E-07,7.63E-21
-2.89E-05,-8.87E-08,4.16E-21
-2.90E-05,-6.95E-07,-2.25E-21
-2.90E-05,-7.96E-07,-2.51E-21
-2.90E-05,-4.36E-07,-8.27E-23
0.0005287,-0.00011053,1.07E-23
0.00047878,-0.00017564,0
0.00054722,-7.54E-05,-8.96E-24
0.00058375,-6.24E-06,0
0.00058396,2.00E-05,-2.17E-23
0.0005766,3.97E-05,-2.67E-23
0.00056743,6.02E-05,3.85E-23
0.00055418,7.76E-05,0
0.0005363,8.98E-05,-8.37E-20
0.00051454,9.69E-05,-1.01E-21
0.00048982,9.97E-05,-1.04E-21
0.00046301,9.93E-05,-1.09E-21
0.00043499,9.70E-05,6.49E-20
0.00040646,9.43E-05,3.29E-23
0.00037794,9.25E-05,5.28E-23
0.00034972,9.23E-05,0
0.00032188,9.41E-05,0
0.00029452,9.75E-05,-2.62E-23
0.00026768,0.00010201,-9.06E-23
0.00024152,0.00010678,0
