grad(U):0,grad(U):1,grad(U):2,grad(U):3,grad(U):4,grad(U):5,grad(U):6,grad(U):7,grad(U):8
-0.0055171,-0.011697,4.54E-22,0.010298,0.0054553,1.62E-20,-6.76E-19,-2.50E-20,1.59E-40
-0.0048558,-0.011153,-3.35E-22,0.0093236,0.0048039,-1.45E-20,-6.07E-19,-2.78E-20,1.71E-41
-0.0042058,-0.010605,2.48E-20,0.0085208,0.0041617,-7.73E-21,6.08E-19,2.73E-20,1.10E-39
-0.0035734,-0.010052,-2.38E-20,0.0078571,0.0035363,7.10E-21,0,0,0
-0.0029673,-0.0094963,1.26E-23,0.0073109,0.0029357,4.70E-22,0,0,0
-0.0023936,-0.0089408,-1.96E-22,0.0068621,0.0023671,-7.56E-21,-3.19E-20,-1.45E-21,-1.56E-41
-0.001859,-0.0083886,1.93E-22,0.006499,0.0018364,6.73E-21,4.92E-19,2.85E-20,-1.01E-41
-0.0013679,-0.0078434,-3.38E-23,0.00621,0.0013485,8.02E-21,-4.97E-19,-2.86E-20,-2.21E-40
-0.00092323,-0.0073087,5.37E-23,0.0059809,0.00090627,-6.95E-21,-2.82E-20,-1.45E-21,-2.98E-41
-0.0005269,-0.006789,-1.57E-20,0.0058042,0.00051168,-7.36E-21,-1.36E-20,-9.26E-22,-7.43E-44
-0.00017853,-0.0062875,3.10E-20,0.0056708,0.0001655,6.43E-21,3.96E-19,2.39E-20,-1.65E-39
0.00012066,-0.0058076,-1.56E-20,0.0055707,-0.00013294,-4.91E-23,-3.94E-19,-2.39E-20,-7.39E-40
0.00037429,-0.005352,1.42E-22,0.0054978,-0.00038568,-6.11E-21,3.74E-19,2.17E-20,-3.08E-39
0.00058431,-0.004923,-2.44E-22,0.0054411,-0.00059512,1.36E-20,-4.56E-20,-2.86E-21,7.39E-39
0.00075515,-0.0045219,-1.91E-20,0.005392,-0.00076456,-7.40E-21,-3.78E-19,-2.16E-20,-4.04E-39
0.00088888,-0.0041495,1.89E-20,0.0053432,-0.00089787,7.70E-21,3.52E-19,1.88E-20,4.46E-39
0.0009908,-0.0038059,-6.65E-22,0.0052865,-0.00099947,-1.24E-21,-7.36E-19,-3.90E-20,-7.57E-39
0.0010654,-0.0034908,3.64E-22,0.0052135,-0.0010737,-1.45E-20,4.09E-19,2.11E-20,2.89E-39
0.0011173,-0.003203,1.59E-22,0.0051146,-0.0011249,8.12E-21,0,0,0
0.0011512,-0.0029412,-2.15E-20,0.0049855,-0.0011579,-9.15E-21,0,0,0
0.0011702,-0.0027037,5.67E-22,0.0048217,-0.0011769,1.69E-20,4.07E-19,1.78E-20,3.76E-39
0.0011799,-0.0024884,2.37E-20,0.0046175,-0.0011858,7.14E-22,-7.47E-19,-3.20E-20,-9.54E-39
0.0011827,-0.0022934,-2.50E-20,0.0043694,-0.0011878,-1.65E-20,3.63E-19,1.52E-20,4.65E-39
0.0011812,-0.0021167,5.16E-20,0.0040786,-0.001186,7.57E-21,-2.30E-20,-9.40E-22,1.26E-43
0.0011786,-0.0019563,-2.72E-20,0.0037435,-0.0011828,4.80E-21,4.67E-20,1.62E-21,-2.61E-39
0.0011767,-0.0018104,2.93E-20,0.003365,-0.0011795,-1.92E-21,-2.14E-19,-7.32E-21,-8.08E-40
0.0011749,-0.0016773,-3.03E-20,0.0029473,-0.0011774,-1.18E-20,1.20E-19,4.19E-21,3.91E-39
0.0011756,-0.0015556,-1.40E-21,0.0024921,-0.0011771,2.55E-21,2.23E-19,6.82E-21,-2.10E-39
0.0011781,-0.0014439,-1.53E-20,0.001999,-0.001179,1.31E-20,2.59E-20,4.57E-22,3.65E-39
0.0011818,-0.0013413,2.98E-22,0.0014676,-0.0011831,-7.67E-21,-2.34E-19,-6.72E-21,-1.96E-39
0.0011898,-0.0012466,1.86E-20,0.00089584,-0.0011894,7.58E-21,2.69E-19,6.82E-21,3.02E-39
0.0011981,-0.0011592,-1.84E-20,0.00027656,-0.0011979,8.02E-21,-4.44E-19,-1.10E-20,-5.75E-39
0.00121,-0.0010781,2.05E-20,-0.0003995,-0.0012086,-1.46E-20,1.13E-22,3.37E-22,4.12E-39
0.0012237,-0.0010028,1.20E-21,-0.0011454,-0.0012219,-1.06E-20,3.22E-22,3.41E-22,2.98E-39
0.0012393,-0.00093279,7.45E-22,-0.0019785,-0.0012378,5.66E-21,2.79E-19,5.84E-21,-3.41E-39
0.0012599,-0.00086745,-2.21E-20,-0.0029202,-0.0012569,1.07E-20,-1.29E-19,-2.38E-21,-7.41E-40
0.001283,-0.00080636,2.51E-20,-0.0039946,-0.0012795,-1.86E-20,5.63E-22,1.79E-22,2.63E-39
