U:0,U:1,U:2
0.024066,-0.00080626,6.15E-21
0.024443,-0.00059168,1.18E-23
0.0248,-0.00038876,-6.64E-21
0.025139,-0.00019775,6.31E-21
0.025463,-1.89E-05,-2.66E-23
0.025773,0.0001474,1.19E-24
0.026073,0.0003008,0
0.026362,0.00044088,-2.68E-23
0.026642,0.00056729,-2.79E-23
0.026915,0.00067973,0
0.027182,0.00077803,2.89E-25
0.027444,0.00086218,0
0.027701,0.00093235,1.21E-22
0.027956,0.00098891,4.05E-21
0.028209,0.0010324,-3.95E-21
0.028461,0.0010637,4.27E-21
0.028711,0.0010836,2.01E-22
0.028961,0.0010933,-4.33E-21
0.02921,0.0010938,4.68E-21
0.029456,0.0010864,-4.71E-21
0.029701,0.0010723,4.85E-21
0.02994,0.0010525,-1.02E-20
0.030174,0.0010282,-1.10E-22
0.030399,0.0010003,1.10E-20
0.030614,0.00096949,-5.51E-21
0.030816,0.00093654,5.84E-21
0.031002,0.00090198,-5.98E-21
0.03117,0.00086624,6.43E-21
0.031318,0.00082967,-6.62E-21
0.031445,0.00079254,-3.22E-21
0.031548,0.00075508,3.56E-21
0.031628,0.00071749,-1.20E-22
0.031683,0.00067994,-4.08E-21
0.031713,0.00064258,4.26E-21
0.031717,0.00060553,4.40E-21
0.031694,0.00056892,-4.93E-21
0.031643,0.00053283,-5.27E-21
0.031565,0.00049732,5.26E-21
0.031457,0.00046245,0
0.031318,0.00042823,0
0.031146,0.00039468,1.05E-22
0.03094,0.0003618,1.15E-22
0.030699,0.0003296,-3.83E-21
0.030421,0.00029812,4.40E-21
0.030105,0.00026742,4.62E-21
0.029751,0.00023759,-9.97E-21
0.029357,0.00020878,-9.20E-23
0.028924,0.00018114,5.98E-21
0.028449,0.00015488,-3.13E-21
0.02793,0.00013022,-3.27E-24
0.027362,0.00010736,3.58E-21
0.026741,8.65E-05,-6.12E-23
0.026059,6.79E-05,4.19E-21
0.025304,5.17E-05,-4.62E-21
0.024465,3.80E-05,-6.19E-25
0.023527,2.68E-05,2.78E-21
0.022469,1.80E-05,-2.96E-21
0.021269,1.17E-05,0
0.019893,7.35E-06,0
0.018294,4.78E-06,-2.05E-21
0.01639,3.50E-06,1.28E-21
0.01402,2.97E-06,1.51E-21
0.010768,2.56E-06,5.66E-22
0.0050412,2.17E-06,-8.95E-22
0.00082583,-0.0006535,7.53E-20
0.0038395,-0.0018021,-4.73E-20
0.0062927,-0.0026313,0
0.008434,-0.0031771,2.05E-20
0.010397,-0.003503,-1.62E-20
0.012201,-0.0036629,1.45E-20
0.013847,-0.0036912,-1.24E-20
0.015337,-0.0036135,-4.58E-24
0.016675,-0.0034532,-8.76E-24
0.01787,-0.0032323,0
0.018931,-0.0029709,-8.12E-24
0.019871,-0.0026858,-1.02E-23
0.020706,-0.0023909,-1.93E-24
0.021449,-0.0020965,0
0.022115,-0.0018098,2.31E-23
0.022715,-0.0015351,7.90E-21
0.023261,-0.0012748,-1.51E-20
0.023763,-0.0010299,7.23E-21
0.024227,-0.00080054,1.26E-23
0.02466,-0.00058642,-7.31E-21
0.025067,-0.00038729,6.98E-21
0.02545,-0.00020297,0
