grad(k):0,grad(k):1,grad(k):2
1.84E-07,1.62E-07,0
6.88E-08,2.49E-06,-1.26E-23
-1.65E-08,4.85E-06,1.35E-23
-6.40E-08,7.33E-06,0
-6.77E-08,1.00E-05,0
-2.19E-08,1.31E-05,-2.67E-22
7.26E-08,1.66E-05,2.86E-22
2.16E-07,2.08E-05,0
4.05E-07,2.55E-05,1.75E-22
6.31E-07,3.05E-05,-4.11E-22
8.79E-07,3.51E-05,2.14E-22
1.13E-06,3.79E-05,7.47E-24
1.35E-06,3.64E-05,0
1.53E-06,2.58E-05,0
1.63E-06,-4.16E-06,1.48E-23
1.63E-06,-7.93E-05,-7.68E-23
1.48E-06,-0.00029147,8.34E-23
1.10E-06,-0.0011791,-1.07E-23
2.43E-08,-0.0012891,1.16E-23
0.0007217,0.002096,0
0.00063055,0.0020101,3.54E-20
0.00023119,0.00085137,-7.30E-20
0.0001249,0.00052254,3.73E-20
8.34E-05,0.00038528,-1.91E-23
6.07E-05,0.00030865,-4.19E-20
4.53E-05,0.00025766,7.99E-20
3.33E-05,0.00021937,1.95E-21
2.31E-05,0.00018827,-3.72E-20
1.43E-05,0.0001618,-3.75E-20
6.52E-06,0.00013862,3.48E-20
-1.54E-07,0.00011801,3.47E-20
-5.82E-06,9.95E-05,-3.22E-20
-1.05E-05,8.28E-05,0
-1.42E-05,6.76E-05,3.02E-20
-1.71E-05,5.37E-05,-2.82E-20
-1.92E-05,4.12E-05,-5.38E-23
-2.05E-05,2.98E-05,2.58E-20
-2.12E-05,1.94E-05,-2.42E-20
-2.13E-05,1.01E-05,8.90E-23
-2.10E-05,1.68E-06,1.80E-24
-2.03E-05,-5.82E-06,0
-1.93E-05,-1.25E-05,7.65E-23
-1.80E-05,-1.84E-05,7.11E-23
-1.66E-05,-2.35E-05,0
-1.51E-05,-2.80E-05,9.27E-25
-1.35E-05,-3.19E-05,0
-1.18E-05,-3.52E-05,-2.24E-22
-1.02E-05,-3.80E-05,-6.63E-21
-8.60E-06,-4.02E-05,6.30E-21
-7.06E-06,-4.21E-05,-5.83E-21
-5.61E-06,-4.35E-05,1.10E-22
-4.26E-06,-4.46E-05,5.23E-21
-3.01E-06,-4.53E-05,-4.79E-21
-1.89E-06,-4.57E-05,4.70E-21
-8.93E-07,-4.58E-05,-4.08E-21
-2.96E-08,-4.55E-05,8.06E-21
7.03E-07,-4.50E-05,-2.04E-22
1.31E-06,-4.42E-05,-7.20E-21
1.79E-06,-4.31E-05,3.39E-21
2.15E-06,-4.18E-05,-3.02E-21
2.40E-06,-4.03E-05,3.04E-21
2.56E-06,-3.86E-05,-2.76E-21
2.64E-06,-3.67E-05,2.80E-21
2.65E-06,-3.48E-05,1.16E-21
2.61E-06,-3.28E-05,-1.27E-21
2.52E-06,-3.07E-05,3.88E-23
2.40E-06,-2.86E-05,1.16E-21
2.26E-06,-2.65E-05,-1.20E-21
2.11E-06,-2.44E-05,-1.09E-21
1.94E-06,-2.24E-05,1.20E-21
1.78E-06,-2.04E-05,1.15E-21
1.61E-06,-1.83E-05,-1.12E-21
1.44E-06,-1.63E-05,0
1.26E-06,-1.41E-05,0
1.09E-06,-1.20E-05,-1.88E-23
9.15E-07,-9.75E-06,-1.93E-23
7.40E-07,-7.45E-06,6.21E-22
5.70E-07,-5.11E-06,-7.00E-22
4.12E-07,-2.75E-06,-7.11E-22
2.68E-07,-3.71E-07,1.51E-21
1.49E-07,2.02E-06,1.49E-23
6.27E-08,4.47E-06,-8.87E-22
1.37E-08,7.06E-06,4.66E-22
1.00E-08,9.89E-06,5.66E-24
5.60E-08,1.31E-05,-5.32E-22
1.51E-07,1.69E-05,9.25E-24
2.98E-07,2.12E-05,-6.44E-22
4.89E-07,2.62E-05,7.03E-22
7.17E-07,3.14E-05,-1.12E-26
9.63E-07,3.62E-05,-4.43E-22
1.21E-06,3.92E-05,4.63E-22
1.42E-06,3.78E-05,0
1.58E-06,2.72E-05,0
1.64E-06,-2.67E-06,3.04E-22
1.58E-06,-7.75E-05,-1.80E-22
1.36E-06,-0.00028807,-1.72E-22
8.66E-07,-0.0011764,-2.14E-23
-3.17E-07,-0.0012919,2.40E-23
0.00090944,0.0015773,-1.55E-20
0.00093593,0.001736,1.43E-20
0.00048238,0.00096213,0
0.00029081,0.00061725,-4.14E-20
0.00020102,0.0004436,3.83E-20
0.00014984,0.00033832,-4.27E-20
0.00011716,0.00026893,3.96E-20
9.40E-05,0.00022038,2.01E-23
7.59E-05,0.00018448,3.91E-23
6.07E-05,0.00015659,0
4.73E-05,0.00013395,3.65E-23
3.53E-05,0.0001149,3.40E-23
2.45E-05,9.84E-05,-1.03E-24
1.50E-05,8.37E-05,0
6.77E-06,7.05E-05,-9.13E-23
-2.08E-07,5.83E-05,-2.97E-20
-5.94E-06,4.69E-05,5.61E-20
-1.05E-05,3.64E-05,-2.65E-20
-1.39E-05,2.65E-05,-5.15E-23
-1.63E-05,1.74E-05,2.40E-20
-1.78E-05,8.95E-06,-2.26E-20
-1.86E-05,1.23E-06,0
-1.87E-05,-5.78E-06,-2.02E-20
-1.84E-05,-1.21E-05,1.92E-20
-1.76E-05,-1.77E-05,1.79E-20
-1.66E-05,-2.27E-05,-8.50E-23
-1.54E-05,-2.71E-05,-1.62E-20
-1.40E-05,-3.09E-05,2.36E-22
-1.25E-05,-3.41E-05,-1.11E-22
-1.10E-05,-3.68E-05,1.04E-22
-9.48E-06,-3.91E-05,-9.81E-23
-8.00E-06,-4.09E-05,0
-6.59E-06,-4.24E-05,-9.25E-25
-5.25E-06,-4.34E-05,-1.02E-20
-4.01E-06,-4.41E-05,9.92E-21
-2.88E-06,-4.45E-05,-1.42E-22
-1.86E-06,-4.45E-05,1.33E-22
-9.73E-07,-4.42E-05,-7.85E-21
-2.05E-07,-4.37E-05,7.79E-21
4.39E-07,-4.28E-05,3.58E-21
9.62E-07,-4.17E-05,-3.58E-21
1.37E-06,-4.04E-05,-5.04E-23
1.68E-06,-3.88E-05,0
1.89E-06,-3.71E-05,-4.56E-23
2.02E-06,-3.52E-05,8.52E-23
2.08E-06,-3.33E-05,0
2.09E-06,-3.12E-05,-3.94E-23
2.05E-06,-2.92E-05,-2.40E-21
1.98E-06,-2.71E-05,2.47E-21
1.88E-06,-2.51E-05,0
1.77E-06,-2.30E-05,1.14E-21
1.65E-06,-2.10E-05,-1.22E-21
1.52E-06,-1.90E-05,0
1.38E-06,-1.69E-05,-1.84E-23
1.23E-06,-1.48E-05,0
1.08E-06,-1.27E-05,-1.65E-25
9.27E-07,-1.05E-05,1.24E-21
7.72E-07,-8.18E-06,-1.31E-21
6.17E-07,-5.84E-06,2.12E-23
4.70E-07,-3.46E-06,-7.44E-22
3.37E-07,-1.05E-06,-1.06E-23
2.25E-07,1.41E-06,7.89E-22
1.43E-07,3.94E-06,3.26E-27
9.91E-08,6.63E-06,-9.27E-22
9.91E-08,9.60E-06,9.98E-22
1.47E-07,1.30E-05,-1.69E-23
2.47E-07,1.69E-05,-1.10E-26
3.96E-07,2.15E-05,-1.00E-23
5.89E-07,2.66E-05,7.23E-22
8.15E-07,3.21E-05,3.05E-23
1.05E-06,3.71E-05,2.13E-23
1.28E-06,4.03E-05,-9.33E-22
1.46E-06,3.92E-05,0
1.57E-06,2.88E-05,-5.86E-22
1.57E-06,-6.03E-07,6.19E-22
1.44E-06,-7.42E-05,3.26E-22
1.15E-06,-0.00028096,-1.97E-22
5.39E-07,-0.0011675,-1.74E-22
-7.00E-07,-0.0012912,-7.63E-25
0.00090476,0.0011815,1.79E-25
0.0010319,0.0014177,0
0.00063292,0.00093114,-1.68E-24
0.00042769,0.00067342,0
0.00031417,0.00052198,-1.01E-23
0.00023749,0.00041045,-1.61E-23
0.00018267,0.0003232,2.09E-23
0.00014301,0.00025478,0
0.00011405,0.00020176,-4.17E-20
9.24E-05,0.00016122,-1.71E-21
7.54E-05,0.00013046,-1.38E-21
6.14E-05,0.00010714,-1.17E-21
4.91E-05,8.93E-05,3.47E-20
3.81E-05,7.52E-05,1.63E-23
2.79E-05,6.38E-05,3.17E-23
1.87E-05,5.41E-05,0
1.04E-05,4.54E-05,0
3.14E-06,3.73E-05,-1.34E-23
-2.94E-06,2.94E-05,-5.18E-23
-7.84E-06,2.18E-05,0
-1.16E-05,1.44E-05,0
-1.43E-05,7.29E-06,-2.23E-20
-1.60E-05,5.04E-07,2.10E-20
-1.69E-05,-5.86E-06,-1.94E-23
-1.71E-05,-1.17E-05,1.11E-22
-1.69E-05,-1.71E-05,1.77E-20
-1.62E-05,-2.19E-05,-1.69E-20
-1.52E-05,-2.61E-05,-9.26E-23
-1.40E-05,-2.98E-05,1.48E-20
-1.26E-05,-3.30E-05,-2.79E-20
-1.12E-05,-3.57E-05,4.66E-22
-9.76E-06,-3.80E-05,1.25E-20
-8.33E-06,-3.98E-05,-1.13E-20
-6.96E-06,-4.13E-05,2.17E-20
-5.64E-06,-4.23E-05,-2.04E-20
-4.42E-06,-4.30E-05,9.78E-21
-3.30E-06,-4.33E-05,-8.80E-21
-2.30E-06,-4.33E-05,4.31E-22
-1.40E-06,-4.30E-05,8.15E-21
-6.37E-07,-4.24E-05,-2.95E-23
1.13E-08,-4.15E-05,0
5.43E-07,-4.04E-05,5.14E-23
9.63E-07,-3.90E-05,-3.06E-21
1.28E-06,-3.74E-05,3.13E-21
1.51E-06,-3.57E-05,-2.77E-21
1.66E-06,-3.38E-05,2.82E-21
1.74E-06,-3.18E-05,0
1.77E-06,-2.98E-05,0
1.75E-06,-2.78E-05,2.41E-21
1.70E-06,-2.57E-05,-2.48E-21
1.63E-06,-2.37E-05,2.33E-21
1.54E-06,-2.17E-05,-2.40E-21
1.43E-06,-1.97E-05,0
1.32E-06,-1.76E-05,-1.14E-21
1.19E-06,-1.56E-05,1.22E-21
1.06E-06,-1.34E-05,1.42E-23
9.27E-07,-1.12E-05,0
7.85E-07,-8.97E-06,5.09E-24
6.44E-07,-6.63E-06,-1.37E-21
5.07E-07,-4.25E-06,1.44E-21
3.82E-07,-1.80E-06,-1.49E-21
2.77E-07,7.01E-07,1.59E-21
1.99E-07,3.31E-06,8.65E-22
1.58E-07,6.10E-06,-9.09E-22
1.60E-07,9.18E-06,9.81E-22
2.09E-07,1.27E-05,-2.13E-21
3.09E-07,1.68E-05,1.14E-21
4.56E-07,2.15E-05,-6.39E-22
6.47E-07,2.68E-05,6.76E-22
8.64E-07,3.25E-05,0
1.09E-06,3.77E-05,3.29E-24
1.29E-06,4.12E-05,-9.44E-22
1.44E-06,4.03E-05,1.02E-21
1.51E-06,3.04E-05,8.85E-24
1.47E-06,1.69E-06,4.83E-24
1.30E-06,-7.00E-05,3.23E-22
9.79E-07,-0.00027127,-1.94E-22
3.10E-07,-0.0011538,-1.63E-22
-9.40E-07,-0.0012868,0
0.00081547,0.00090824,-4.70E-25
0.00095965,0.0011154,1.90E-24
0.00060885,0.00076222,-5.84E-20
0.00043847,0.0005973,-1.36E-20
0.00034967,0.00051348,6.23E-20
0.00028695,0.00044914,-4.85E-24
0.00023487,0.00038761,-8.15E-20
0.00018975,0.00032629,7.54E-20
0.00015141,0.00026707,-1.83E-23
0.00012006,0.00021283,-8.15E-20
9.54E-05,0.00016585,1.55E-19
7.65E-05,0.00012727,-7.37E-20
6.19E-05,9.71E-05,-1.74E-23
5.02E-05,7.44E-05,3.49E-20
4.03E-05,5.80E-05,6.48E-22
3.15E-05,4.62E-05,5.16E-22
2.33E-05,3.77E-05,-2.95E-20
1.56E-05,3.12E-05,1.38E-23
8.45E-06,2.57E-05,0
2.08E-06,2.05E-05,0
-3.38E-06,1.53E-05,0
-7.81E-06,9.97E-06,-2.23E-23
-1.12E-05,4.46E-06,-2.15E-20
-1.36E-05,-1.11E-06,2.03E-20
